Timestamp(ms),Current(uA),D0-D7
2730,19251.102,00000000
2740,19244.512,00000000
2750,19246.643,00000000
2760,19234.936,00000000
2770,19234.037,00000000
2780,19231.129,00000000
2790,19226.504,00000000
2800,19217.844,00000000
2810,19206.840,00000000
2820,19207.373,00000000
2830,19203.912,00000000
2840,19206.039,00000000
2850,19217.744,00000000
2860,19205.820,00000000
2870,19196.924,00000000
2880,19209.926,00000000
2890,19216.328,00000000
2900,19226.773,00000000
2910,19221.240,00000000
2920,19225.887,00000000
2930,19230.240,00000000
2940,19216.227,00000000
2950,19198.039,00000000
2960,19210.980,00000000
2970,19200.500,00000000
2980,19199.045,00000000
2990,19210.891,00000000
3000,19208.486,00000000
3010,19201.209,00000000
3020,19198.885,00000000
3030,19218.295,00000000
3040,19212.643,00000000
3050,19205.576,00000000
3060,19196.881,00000000
3070,19203.648,00000000
3080,19202.188,00000000
3090,19197.533,00000000
3100,19201.746,00000000
3110,19199.105,00000000
3120,19213.459,00000000
3130,19210.395,00000000
3140,19203.279,00000000
3150,19204.900,00000000
3160,19201.404,00000000
3170,19212.566,00000000
3180,19203.990,00000000
3190,19203.439,00000000
3200,19217.023,00000000
3210,19194.240,00000000
3220,19203.859,00000000
3230,19199.994,00000000
3240,19194.682,00000000
3250,19202.080,00000000
3260,19211.074,00000000
3270,19209.059,00000000
3280,19219.623,00000000
3290,19223.105,00000000
3300,19215.299,00000000
3310,19203.428,00000000
3320,19212.023,00000000
3330,19212.490,00000000
3340,19222.502,00000000
3350,19223.484,00000000
3360,19215.057,00000000
3370,19214.754,00000000
3380,19207.576,00000000
3390,19219.979,00000000
3400,19213.953,00000000
3410,19210.338,00000000
3420,19216.828,00000000
3430,19217.117,00000000
3440,19226.164,00000000
3450,19217.324,00000000
3460,19219.020,00000000
3470,19228.063,00000000
3480,19209.840,00000000
3490,19212.145,00000000
3500,19225.631,00000000
3510,19208.316,00000000
3520,19194.770,00000000
3530,19214.020,00000000
3540,19217.654,00000000
3550,19220.998,00000000
3560,19230.473,00000000
3570,19220.568,00000000
3580,19225.074,00000000
3590,19228.434,00000000
3600,19225.676,00000000
3610,19211.939,00000000
3620,19214.787,00000000
3630,19203.375,00000000
3640,19216.303,00000000
3650,19214.055,00000000
3660,19219.938,00000000
3670,19207.477,00000000
3680,19221.877,00000000
3690,19211.848,00000000
3700,19210.789,00000000
