Episode,Value
340,3578349.507777794
341,3578322.007777794
342,3578349.507777794
343,3512373.007777794
344,3441768.007777794
345,3379738.0327777937
346,3578349.507777794
347,3578349.507777794
348,3511553.5077777933
349,3578349.507777794
350,3578349.507777794
351,3578229.507777794
352,3476607.5077777933
353,3544771.507777794
354,3578349.507777794
355,3578318.507777794
356,3578349.507777794
357,3578349.507777794
358,3578349.507777794
359,3578349.507777794
360,3543864.007777794
361,3578349.507777794
362,3578349.507777794
363,3578349.507777794
364,3578349.507777794
365,3544723.507777794
366,3578301.507777794
367,3578349.507777794
368,3578325.507777794
369,3611303.5077777943
370,3544843.507777794
371,3578325.507777794
372,3578349.507777794
373,3578349.507777794
374,3544151.007777794
375,3578349.507777794
376,3578349.507777794
377,3578349.507777794
378,3578349.507777794
379,3578349.507777794
380,3578349.507777794
381,3545275.507777794
382,3578349.507777794
383,3578349.507777794
384,3578349.507777794
385,3578349.507777794
386,3578349.507777794
387,3578349.507777794
388,3544747.507777794
389,3578349.507777794
390,3475078.507777794
391,3578349.507777794
392,3578349.507777794
393,3578349.507777794
394,3578349.507777794
395,3578349.507777794
396,3443859.507777794
397,3544747.507777794
398,3578349.507777794
399,3578349.507777794
400,3545131.507777794
401,3578349.507777794
402,3578349.507777794
403,3578349.507777794
404,3578349.507777794
405,3578349.507777794
406,3543838.007777794
407,3544843.507777794
408,3476607.507777794
409,3544243.507777794
410,3578349.507777794
411,3580050.002777794
412,3578349.507777794
413,3578349.507777794
414,3578325.507777794
415,3578349.507777794
416,3543835.507777794
417,3578349.507777794
418,3578349.507777794
419,3578349.507777794
420,3543864.007777794
421,3578349.507777794
422,3578349.507777794
423,3578349.507777794
424,3578349.507777794
425,3578349.507777794
426,3578349.507777794
427,3578349.507777794
428,3578349.507777794
429,3578349.507777794
430,3578349.507777794
431,3578349.507777794
432,3578349.507777794
433,3578349.507777794
434,3578349.507777794
435,3578349.507777794
436,3578349.507777794
437,3578349.507777794
438,3578349.507777794
439,3578349.507777794
440,3578349.507777794
441,3545179.507777794
442,3578349.507777794
443,3578349.507777794
444,3544867.507777794
445,3578349.507777794
446,3578349.507777794
447,3578349.507777794
448,3578349.507777794
449,3578349.507777794
450,3578349.507777794
451,3578349.507777794
452,3578349.507777794
453,3476162.007777794
454,3578349.507777794
455,3578349.507777794
456,3545275.507777794
457,3578349.507777794
458,3578349.507777794
459,3578349.507777794
460,3578349.507777794
461,3578349.507777794
462,3578349.507777794
463,3544459.507777794
464,3578349.507777794
465,3578349.507777794
466,3578349.507777794
467,3578349.507777794
468,3578349.507777794
469,3578349.507777794
470,3578349.507777794
471,3578349.507777794
472,3578349.507777794
473,3578349.507777794
474,3578349.507777794
475,3578349.507777794
476,3578349.507777794
477,3578349.507777794
478,3578349.507777794
479,3578349.507777794
480,3578349.507777794
481,3578349.507777794
482,3578349.507777794
483,3578349.507777794
484,3578349.507777794
485,3476607.5077777933
486,3578349.507777794
487,3578349.507777794
488,3578349.507777794
489,3578349.507777794
490,3578349.507777794
491,3578349.507777794
492,3578349.507777794
493,3548947.507777794
494,3578349.507777794
495,3578349.507777794
496,3578349.507777794
497,3578349.507777794
498,3578349.507777794
499,3578349.507777794
500,3578349.507777794
